datetime,load,temperature
2024-01-01 00:00,1500.5,15.2
2024-01-01 01:00,,14.8
2024-01-01 02:00,1400.1,
2024-01-01 03:00,1380.0,-10.5
2024-01-01 04:00,5000.0,45.0
2024-01-01 05:00,1550.8,14.5
2024-01-01 06:00,,
2024-01-01 07:00,1850.5,16.2
2024-01-01 08:00,100.0,-5.0
2024-01-01 09:00,2100.7,50.0
2024-01-01 10:00,2200.4,19.5
2024-01-01 11:00,,20.1
2024-01-01 12:00,2300.2,
2024-01-01 13:00,8000.0,55.0
2024-01-01 14:00,2260.3,21.5
2024-01-01 15:00,50.0,-15.0
2024-01-01 16:00,2220.7,20.9
2024-01-01 17:00,,
2024-01-01 18:00,2400.8,19.5
2024-01-01 19:00,2500.2,-8.0
2024-01-01 20:00,9500.0,60.0
2024-01-01 21:00,2350.6,17.5
2024-01-01 22:00,,16.8
2024-01-01 23:00,1900.1,
2024-01-02 00:00,1550.5,15.5
2024-01-02 01:00,10.0,48.0
2024-01-02 02:00,1420.1,14.8
2024-01-02 03:00,,
2024-01-02 04:00,1440.5,-20.0
2024-01-02 05:00,7000.0,14.8
2024-01-02 06:00,1730.2,15.5
2024-01-02 07:00,1880.5,52.0
2024-01-02 08:00,,18.2
2024-01-02 09:00,2130.7,
2024-01-02 10:00,25.0,-12.0
2024-01-02 11:00,2280.8,20.8
2024-01-02 12:00,6500.0,58.0
2024-01-02 13:00,2310.5,21.8
2024-01-02 14:00,,
2024-01-02 15:00,2270.1,21.9
2024-01-02 16:00,2250.7,-7.0
2024-01-02 17:00,8500.0,20.8
2024-01-02 18:00,2430.8,20.1
2024-01-02 19:00,,62.0
2024-01-02 20:00,2480.4,
2024-01-02 21:00,75.0,18.2
2024-01-02 22:00,2230.3,17.5
2024-01-02 23:00,,
2024-01-03 00:00,1580.5,16.2
2024-01-03 01:00,1510.3,-18.0
2024-01-03 02:00,9000.0,15.5
2024-01-03 03:00,,15.2
2024-01-03 04:00,1470.5,
2024-01-03 05:00,15.0,54.0
2024-01-03 06:00,1760.2,16.2
2024-01-03 07:00,7500.0,17.5
2024-01-03 08:00,2060.3,18.8
2024-01-03 09:00,,-25.0
2024-01-03 10:00,2260.4,
2024-01-03 11:00,2310.8,21.5
2024-01-03 12:00,,65.0
2024-01-03 13:00,2340.5,22.5
2024-01-03 14:00,5500.0,22.8
2024-01-03 15:00,,
2024-01-03 16:00,2280.7,22.1
2024-01-03 17:00,200.0,-9.0
2024-01-03 18:00,2460.8,20.8
2024-01-03 19:00,8800.0,56.0
2024-01-03 20:00,,19.5
2024-01-03 21:00,2410.6,
2024-01-03 22:00,2260.3,18.2
2024-01-03 23:00,40.0,-22.0
2024-01-04 00:00,1610.5,16.8
2024-01-04 01:00,,16.5
2024-01-04 02:00,1480.1,
2024-01-04 03:00,6800.0,15.8
2024-01-04 04:00,1500.5,59.0
2024-01-04 05:00,1640.8,16.2
2024-01-04 06:00,5.0,16.8
2024-01-04 07:00,,
2024-01-04 08:00,2090.3,-28.0
2024-01-04 09:00,9200.0,20.8
2024-01-04 10:00,2290.4,21.5
2024-01-04 11:00,2340.8,
2024-01-04 12:00,,67.0
2024-01-04 13:00,2370.5,23.1
2024-01-04 14:00,5800.0,23.5
2024-01-04 15:00,2330.1,
2024-01-04 16:00,,-11.0
2024-01-04 17:00,2390.5,22.1
2024-01-04 18:00,7800.0,21.5
2024-01-04 19:00,2590.2,20.8
2024-01-04 20:00,,61.0
2024-01-04 21:00,2440.6,
2024-01-04 22:00,150.0,18.8
2024-01-04 23:00,1990.1,18.1
2024-01-05 00:00,,-16.0
2024-01-05 01:00,1570.3,17.1
2024-01-05 02:00,6200.0,
2024-01-05 03:00,1480.0,16.5
2024-01-05 04:00,,53.0
