datetime,load,temperature
2024-01-01 00:00,1500.5,15.2
2024-01-01 01:00,1450.3,14.8
2024-01-01 02:00,1400.1,14.5
2024-01-01 03:00,1380.0,14.2
2024-01-01 04:00,1420.5,14.0
2024-01-01 05:00,1550.8,14.5
2024-01-01 06:00,1700.2,15.0
2024-01-01 07:00,1850.5,16.2
2024-01-01 08:00,2000.3,17.5
2024-01-01 09:00,2100.7,18.8
2024-01-01 10:00,2200.4,19.5
2024-01-01 11:00,2250.8,20.1
2024-01-01 12:00,2300.2,20.8
2024-01-01 13:00,2280.5,21.2
2024-01-01 14:00,2260.3,21.5
2024-01-01 15:00,2240.1,21.3
2024-01-01 16:00,2220.7,20.9
2024-01-01 17:00,2300.5,20.2
2024-01-01 18:00,2400.8,19.5
2024-01-01 19:00,2500.2,18.8
2024-01-01 20:00,2450.4,18.2
2024-01-01 21:00,2350.6,17.5
2024-01-01 22:00,2200.3,16.8
2024-01-01 23:00,1900.1,16.2
2024-01-02 00:00,1550.5,15.5
2024-01-02 01:00,1480.3,15.1
2024-01-02 02:00,1420.1,14.8
2024-01-02 03:00,1390.0,14.5
2024-01-02 04:00,1440.5,14.3
2024-01-02 05:00,1580.8,14.8
2024-01-02 06:00,1730.2,15.5
2024-01-02 07:00,1880.5,16.8
2024-01-02 08:00,2030.3,18.2
2024-01-02 09:00,2130.7,19.5
2024-01-02 10:00,2230.4,20.2
2024-01-02 11:00,2280.8,20.8
2024-01-02 12:00,2330.2,21.5
2024-01-02 13:00,2310.5,21.8
2024-01-02 14:00,2290.3,22.1
2024-01-02 15:00,2270.1,21.9
2024-01-02 16:00,2250.7,21.5
2024-01-02 17:00,2330.5,20.8
2024-01-02 18:00,2430.8,20.1
2024-01-02 19:00,2530.2,19.5
2024-01-02 20:00,2480.4,18.8
2024-01-02 21:00,2380.6,18.2
2024-01-02 22:00,2230.3,17.5
2024-01-02 23:00,1930.1,16.8
2024-01-03 00:00,1580.5,16.2
2024-01-03 01:00,1510.3,15.8
2024-01-03 02:00,1450.1,15.5
2024-01-03 03:00,1420.0,15.2
2024-01-03 04:00,1470.5,15.0
2024-01-03 05:00,1610.8,15.5
2024-01-03 06:00,1760.2,16.2
2024-01-03 07:00,1910.5,17.5
2024-01-03 08:00,2060.3,18.8
2024-01-03 09:00,2160.7,20.1
2024-01-03 10:00,2260.4,20.8
